Girone,Squadra 1,Squadra 2,Set 1 Squadra 1,Set 1 Squadra 2,Set 2 Squadra 1,Set 2 Squadra 2,Set 3 Squadra 1,Set 3 Squadra 2,Vincitore,Orario
MOSCOW MULE,Spritz Compari,Volley Vintage,0,0,0,0,0,0,,9:30-9:50
MOSCOW MULE,Spritz Compari,Tropical Team,,,,,,,,10:50-11:10
MOSCOW MULE,Eccezionali Veramente,Volley Vintage,,,,,,,,12:10-12:30
MOSCOW MULE,Eccezionali Veramente,Spritz Compari,,,,,,,,13:50-14:10
MOSCOW MULE,Volley Vintage,Tropical Team,,,,,,,,15:10-15:30
MOSCOW MULE,Tropical Team,Eccezionali Veramente,,,,,,,,16:30-16:50
WHISKEY SOUR,I Zeneixi,Piero Peluches,,,,,,,,16:30
WHISKEY SOUR,Chi Schiaccia e Perduto,Asta,,,,,,,,9:50
WHISKEY SOUR,Chi Schiaccia e Perduto,I Zeneixi,,,,,,,,10:10
WHISKEY SOUR,Asta,Piero Peluches,,,,,,,,10:30
WHISKEY SOUR,Chi Schiaccia e Perduto,Piero Peluches,,,,,,,,15:50
WHISKEY SOUR,Piero Peluches,Chi Schiaccia e Perduto,,,,,,,,11:10
WHISKEY SOUR,Chi Schiaccia e Perduto,I Zeneixi,,,,,,,,11:30
WHISKEY SOUR,I Zeneixi,Asta,,,,,,,,11:50
WHISKEY SOUR,Asta,Piero Peluches,,,,,,,,12:50
WHISKEY SOUR,Piero Peluches,Chi Schiaccia e Perduto,,,,,,,,13:10
WHISKEY SOUR,Chi Schiaccia e Perduto,Asta,,,,,,,,13:50
WHISKEY SOUR,Piero Peluches,Asta,,,,,,,,14:30
WHISKEY SOUR,Asta,Chi Schiaccia e Perduto,,,,,,,,14:50
WHISKEY SOUR,I Zeneixi,Asta,,,,,,,,16:10
WHISKEY SOUR,I Zeneixi,Chi Schiaccia e Perduto,,,,,,,,16:50
WHISKEY SOUR,Volley Un Dlink,Anonymous,,,,,,,,17:10
WHISKEY SOUR,Anonymous,Casalions,,,,,,,,17:30
SPECIAL DAIQUIRI,Casalions,I Gintonici,,,,,,,,10:10
SPECIAL DAIQUIRI,I Gintonici,Gli Spaesati,,,,,,,,10:30
SPECIAL DAIQUIRI,Gli Spaesati,Volley Un Dlink,,,,,,,,10:50
SPECIAL DAIQUIRI,Volley Un Dlink,Anonymous,,,,,,,,11:30
SPECIAL DAIQUIRI,Anonymous,Casalions,,,,,,,,11:50
SPECIAL DAIQUIRI,Casalions,I Gintonici,,,,,,,,12:30
SPECIAL DAIQUIRI,I Gintonici,Gli Spaesati,,,,,,,,12:50
SPECIAL DAIQUIRI,Gli Spaesati,Volley Un Dlink,,,,,,,,13:50
SPECIAL DAIQUIRI,Volley Un Dlink,Anonymous,,,,,,,,14:10
SPECIAL DAIQUIRI,Anonymous,Casalions,,,,,,,,14:30
SPECIAL DAIQUIRI,Casalions,I Gintonici,,,,,,,,14:50
SPECIAL DAIQUIRI,I Gintonici,Gli Spaesati,,,,,,,,15:10
SPECIAL DAIQUIRI,Gli Spaesati,Volley Un Dlink,,,,,,,,15:50
SPECIAL DAIQUIRI,Volley Un Dlink,Anonymous,,,,,,,,16:10
SPECIAL DAIQUIRI,Anonymous,Casalions,,,,,,,,16:30
SPECIAL DAIQUIRI,Casalions,I Gintonici,,,,,,,,17:10
SPECIAL DAIQUIRI,Case Bonetti,Fuffaguru,,,,,,,,17:30
SPECIAL DAIQUIRI,Fuffaguru,Beach Boys,,,,,,,,17:50
TEQUILA SUNRISE,Beach Boys,Case Bonetti,,,,,,,,10:30
TEQUILA SUNRISE,Case Bonetti,Fuffaguru,,,,,,,,10:50
TEQUILA SUNRISE,Fuffaguru,Beach Boys,,,,,,,,11:10
TEQUILA SUNRISE,Beach Boys,Case Bonetti,,,,,,,,11:50
TEQUILA SUNRISE,Case Bonetti,Fuffaguru,,,,,,,,12:10
TEQUILA SUNRISE,Fuffaguru,Beach Boys,,,,,,,,12:30
TEQUILA SUNRISE,Beach Boys,Case Bonetti,,,,,,,,13:30
TEQUILA SUNRISE,Case Bonetti,Fuffaguru,,,,,,,,13:50
TEQUILA SUNRISE,Fuffaguru,Beach Boys,,,,,,,,14:10
TEQUILA SUNRISE,Beach Boys,Case Bonetti,,,,,,,,15:10
TEQUILA SUNRISE,Case Bonetti,Fuffaguru,,,,,,,,15:30
TEQUILA SUNRISE,Fuffaguru,Beach Boys,,,,,,,,15:50
TEQUILA SUNRISE,Beach Boys,Case Bonetti,,,,,,,,16:10
TEQUILA SUNRISE,,,,,,,,,,16:30
TEQUILA SUNRISE,,,,,,,,,,16:50
