Girone,Squadra 1,Squadra 2,Set 1 Squadra 1,Set 1 Squadra 2,Set 2 Squadra 1,Set 2 Squadra 2,Set 3 Squadra 1,Set 3 Squadra 2,Vincitore,Orario
MOSCOW MULE,Spritz Compari,Volley Vintage,0,0,0,0,0,0,,9:30-9:50
MOSCOW MULE,Spritz Compari,Tropical Team,0,0,0,0,0,0,,10:50-11:10
MOSCOW MULE,Eccezionali Veramente,Volley Vintage,0,0,0,0,0,0,,12:10-12:30
MOSCOW MULE,Eccezionali Veramente,Spritz Compari,0,0,0,0,0,0,,13:50-14:10
MOSCOW MULE,Volley Vintage,Tropical Team,0,0,0,0,0,0,,15:10-15:30
MOSCOW MULE,Tropical Team,Eccezionali Veramente,0,0,0,0,0,0,,16:30-16:50
WHISKEY SOUR,I Zeneixi,Piero Peluches,0,0,0,0,0,0,,9:50-10:10
WHISKEY SOUR,Chi Schiaccia e Perduto,Asta,0,0,0,0,0,0,,11:10-11:30
WHISKEY SOUR,Chi Schiaccia e Perduto,I Zeneixi,0,0,0,0,0,0,,12:30-:12:50
WHISKEY SOUR,Asta,Piero Peluches,0,0,0,0,0,0,,14:10-14:30
WHISKEY SOUR,Chi Schiaccia e Perduto,Piero Peluches,0,0,0,0,0,0,,15:30:-15:50
WHISKEY SOUR,I Zeneixi,Asta,0,0,0,0,0,0,,16:50-17:10
SPECIAL DAIQUIRI,Volley Un Dlink,Anonymous,0,0,0,0,0,0,,10:10-10:30
SPECIAL DAIQUIRI,Casalions,I Gintonici,0,0,0,0,0,0,,11:30-11:50
SPECIAL DAIQUIRI,I Gintonici,Volley Un Dlink,0,0,0,0,0,0,,12:50-13:10
SPECIAL DAIQUIRI,Anonymous,Casalions,0,0,0,0,0,0,,14:30-14:50
SPECIAL DAIQUIRI,Volley Un Dlink,Casalions,0,0,0,0,0,0,,15:50-16:10
SPECIAL DAIQUIRI,Anonymous,I Gintonici,0,0,0,0,0,0,,17:10-17:30
TEQUILA SUNRISE,Case Bonetti,Gli Spaesati,0,0,0,0,0,0,,10:30-10:50
TEQUILA SUNRISE,Beach Boys,Fuffaguru,0,0,0,0,0,0,,11:50-12:10
TEQUILA SUNRISE,Fuffaguru,Gli Spaesati,0,0,0,0,0,0,,13:30-13:50
TEQUILA SUNRISE,Beach Boys,Case Bonetti,0,0,0,0,0,0,,14:50-15:10
TEQUILA SUNRISE,Case Bonetti,Fuffaguru,0,0,0,0,0,0,,16:10-16:30
TEQUILA SUNRISE,Beach Boys,Gli Spaesati,0,0,0,0,0,0,,17:30-17:50
